,Adj Close
2011-02-28,3.195656405295222
2011-03-31,-0.10473132038185673
2011-04-30,2.849538044379507
2011-05-31,-1.350095276693064
2011-06-30,-1.825746126569705
2011-07-31,-2.1474425791952023
2011-08-31,-5.679110746359761
2011-09-30,-7.176198830376013
2011-10-31,10.772303853581011
2011-11-30,-0.5058715193587249
2011-12-31,0.8532763948144062
2012-01-31,4.358306221850627
2012-02-29,4.058946413084175
2012-03-31,3.1332314530530647
2012-04-30,-0.749745270927038
2012-05-31,-6.265072563317764
2012-06-30,3.955498213459152
2012-07-31,1.2597574126154365
2012-08-31,1.9763369680148246
2012-09-30,2.4236153696477025
2012-10-31,-1.9789409878227415
2012-11-30,0.2846717017343403
2012-12-31,0.7068230463864511
2013-01-31,5.042809651957847
2013-02-28,1.1060649195259176
2013-03-31,3.5987723516956116
2013-04-30,1.808576785925231
2013-05-31,2.0762811721046104
2013-06-30,-1.4999301636062778
2013-07-31,4.946207981522499
2013-08-31,-3.1298019033866864
2013-09-30,2.974952317723911
2013-10-31,4.459575261800608
2013-11-30,2.804947163518645
2013-12-31,2.356279155049279
2014-01-31,-3.5582905675162646
2014-02-28,4.311702997659528
2014-03-31,0.6932165607935747
2014-04-30,0.6200788965052828
2014-05-31,2.1030280012996005
2014-06-30,1.9058331658920569
2014-07-31,-1.507983058191975
2014-08-31,3.765529548973512
2014-09-30,-1.5513837223063764
2014-10-31,2.320146078677232
2014-11-30,2.453358876036482
2014-12-31,-0.41885878779204244
2015-01-31,-3.1040805790470305
2015-02-28,5.489251101455417
2015-03-31,-1.739610691375626
2015-04-30,0.8520819730124751
2015-05-31,1.0491382393316817
2015-06-30,-2.1011672375900514
2015-07-31,1.9742029696721453
2015-08-31,-6.258081816720285
2015-09-30,-2.6442831573227132
2015-10-31,8.298311776039412
2015-11-30,0.050486926072412786
2015-12-31,-1.753018517631444
